ArchivalInfoSource	LakeAbsoluteHeight	LakeId	LakeLength	LakeMaxDepth	LakeMirrorArea	LakeShorelineLength	LakeWaterMass	LakeWidth	SurveyYear
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	347.3	200070	104	54	2650	384	5856	52	
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	294.6	404860	11.5	1.4	0	40.3	57.3	7.4	1957
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	217.3	702510	7.1	3.1	24.95	20.7	57	4.3	1958
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	221.3	404660	7.7	3	0	27.2	56.6	6.1	1943
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	115.7	301710	5.6	5	0	18	53.8	4	1945
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	371.2	404470	6.05	8.5	0	21.3	51	3.85	1945
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	349.8	200020	18.3	5.8	120	57.3	501.75	9.6	1962
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	368.6	403700	4.2	1.6	0	14	5.7	1.7	1953
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	95.9	702140	5.7	1.6	0	14.4	5.6	1.7	1944
Филонец П.П., Омаров Т.Р. Озеро северного, западного и восточного Казахстана (Справочник). – Л.: Гидрометеоиздат, 1974. – 138 с.	129.9	400270	1.9	2.46	0	6	5.4	1.6	1944
Филонец П.П., Омаров Т.Р. Озера Центрального и южного Казахстана (Справочник). – Алма-Ата: Из-во Наука Казахской ССР, 1973. – 198 с.	343	200260	3.2	2.9	2.82	14	5.3	0.8	1956
